scheme,seed,negatives,test_S1_fraction,n_train,n_test,model,encoding,test_view,auc_roc,auprc,f1,brier,prevalence,n,n_positive,threshold
drug,0,uniform,0.0,187260,84690,random_forest,symmetric,pooled,0.7941214565659585,0.783702591499102,0.7342675051703035,0.1936365215226449,0.5,84690,42345,0.4134810601912641
drug,0,uniform,0.0,187260,84690,random_forest,symmetric,S2,0.8025450306278484,0.7912512041021252,0.7415912031047865,0.1907804049838349,0.5,76932,38466,0.4134810601912641
drug,0,uniform,0.0,187260,84690,random_forest,symmetric,S3,0.7060805797121097,0.6930205440469489,0.6569058077110785,0.2219591249724685,0.5,7758,3879,0.4134810601912641
drug,0,degree_matched,0.0,187260,84690,degree_only,none,pooled,0.5398389801700997,0.5397941011278595,0.6666666666666666,0.4556211972104113,0.5,84690,42345,0.0006330506268524925
drug,0,degree_matched,0.0,187260,84690,degree_only,none,S2,0.5482842616835764,0.5438070299032708,0.6666666666666666,0.45120973443392,0.5,76932,38466,0.0006330506268524925
drug,0,degree_matched,0.0,187260,84690,degree_only,none,S3,0.5,0.5,0.6666666666666666,0.49936735012624367,0.5,7758,3879,0.0006330506268524925
drug,0,degree_matched,0.0,187260,84690,logreg,concat,pooled,0.6086134227862847,0.6077207693673907,0.6652482744756416,0.24397384522271415,0.5,84690,42345,0.2742123788085776
drug,0,degree_matched,0.0,187260,84690,logreg,concat,S2,0.6081003952577013,0.6081187421967269,0.6650763796504426,0.24372331962840094,0.5,76932,38466,0.2742123788085776
drug,0,degree_matched,0.0,187260,84690,logreg,concat,S3,0.6215804577247507,0.611871851987724,0.6670516892867456,0.24645817559416328,0.5,7758,3879,0.2742123788085776
drug,0,degree_matched,0.0,187260,84690,random_forest,concat,pooled,0.7124243888315092,0.6978134627771759,0.6975471142240764,0.22751568253890717,0.5,84690,42345,0.42723506082596613
drug,0,degree_matched,0.0,187260,84690,random_forest,concat,S2,0.7149286170767586,0.6999786503913419,0.6989414079170614,0.22681050311293088,0.5,76932,38466,0.42723506082596613
drug,0,degree_matched,0.0,187260,84690,random_forest,concat,S3,0.695494363160522,0.6863930113731243,0.6829108391608392,0.23450857550090945,0.5,7758,3879,0.42723506082596613
drug,0,degree_matched,0.0,187260,84690,logreg,symmetric,pooled,0.630190618725031,0.6208545628186956,0.6722839608558633,0.2406031196738912,0.5,84690,42345,0.23593912972168024
drug,0,degree_matched,0.0,187260,84690,logreg,symmetric,S2,0.6301040117405965,0.6210483946477803,0.6719214509750443,0.24026992350224646,0.5,76932,38466,0.23593912972168024
drug,0,degree_matched,0.0,187260,84690,logreg,symmetric,S3,0.6369684768846416,0.6247153043191742,0.6760510155880963,0.243907250619621,0.5,7758,3879,0.23593912972168024
drug,0,degree_matched,0.0,187260,84690,random_forest,symmetric,pooled,0.7420805510169747,0.7298342999866931,0.7130763636363636,0.21967682083181717,0.5,84690,42345,0.42074955221417776
drug,0,degree_matched,0.0,187260,84690,random_forest,symmetric,S2,0.7462311087194913,0.7335234473544883,0.7158807219572307,0.2185390746919754,0.5,76932,38466,0.42074955221417776
drug,0,degree_matched,0.0,187260,84690,random_forest,symmetric,S3,0.7061314880842839,0.6977845776238727,0.6837188612099644,0.2309592500700631,0.5,7758,3879,0.42074955221417776
scaffold,0,uniform,0.0,188392,78784,degree_only,none,pooled,0.7253492219763351,0.7163941451648133,0.7118271292681586,0.49657439673627596,0.5,78784,39392,0.0009253599778260127
